Timestamp ,Time of start ,Port ,Mode ,Total bytes transferred ,Sent_bytes/Mbytes ,Received_bytes/Mbytes ,Sent_rate/Mbps ,Received_rate/Mbps ,TCP retransmissions
1633341361,12:56:1,5203,0,385,388,385,310,308,62
1633341371,12:56:11,5210,1,741,744,741,595,593,75
1633344961,13:56:1,5204,0,501,504,501,404,400,69
1633344971,13:56:11,5210,1,693,697,693,557,555,67
1633348561,14:56:1,5203,0,558,561,558,449,446,21
1633348572,14:56:12,5208,1,738,742,738,592,591,81
1633352161,15:56:1,5203,0,562,565,562,452,450,11
1633352171,15:56:11,5208,1,728,731,728,584,582,143
1633355761,16:56:1,5205,0,561,564,561,452,448,6
1633355771,16:56:11,5206,1,737,740,737,592,589,75
1633359361,17:56:1,5202,0,565,567,565,454,452,18
1633359371,17:56:11,5208,1,741,743,741,594,593,42
1633362961,18:56:1,5207,0,555,559,555,447,444,15
1633362971,18:56:11,5209,1,727,730,727,583,581,86
1633366562,19:56:2,5205,0,539,542,539,434,431,16
1633366572,19:56:12,5203,1,690,693,690,553,552,131
1633370161,20:56:1,5203,0,552,555,552,444,441,23
1633370171,20:56:11,5204,1,743,746,743,596,594,68
1633373761,21:56:1,5201,0,469,473,469,378,375,116
1633373771,21:56:11,5210,1,449,451,449,361,359,2295
1633377361,22:56:1,5200,0,561,563,561,451,448,8
1633377372,22:56:12,5207,1,725,729,725,582,580,48
1633380961,23:56:1,5201,0,545,549,545,439,436,54
1633380971,23:56:11,5205,1,742,745,742,595,593,36
